Location,NDex#,Method,MinLevel,MaxLevel,EncounterRate
"Abandoned Ship",72,"Surf",5,35,99
"Abandoned Ship",73,"Surf",30,35,1
"Abandoned Ship",72,"Fish Old",5,10,30
"Abandoned Ship",129,"Fish Old",5,10,70
"Abandoned Ship",72,"Fish Good",10,30,40
"Abandoned Ship",129,"Fish Good",10,30,60
"Abandoned Ship",72,"Fish Super",25,35,80
"Abandoned Ship",73,"Fish Super",20,35,20
"Altering Cave",41,"Cave",6,16,100
"Altering Cave",179,"Cave",3,13,100
"Altering Cave",190,"Cave",18,28,100
"Altering Cave",204,"Cave",19,29,100
"Altering Cave",213,"Cave",18,28,100
"Altering Cave",216,"Cave",18,28,100
"Altering Cave",228,"Cave",12,20,100
"Altering Cave",234,"Cave",18,28,100
"Altering Cave",235,"Cave",18,28,100
"Ancient Tomb",379,"Special",40,40,NULL
"Artisan Cave",235,"Cave",40,50,100
"Birth Island",386,Aurora,30,30,NULL
"Cave of Origin",41,"Cave",28,35,90
"Cave of Origin",42,"Cave",33,36,10
"Cave of Origin",41,"Cave",30,34,60
"Cave of Origin",42,"Cave",33,36,10
"Cave of Origin",302,"Cave",30,34,30
"Desert Ruins",377,"Special",40,40,NULL
"Desert Underpass",132,"Cave",38, 40,43
"Desert Underpass",293,"Cave",35,36, 38
"Desert Underpass",294,"Cave",38,44,16
"Dewford Town",72,"Surf",5,35,60
"Dewford Town",278,"Surf",10,30,35
"Dewford Town",279,"Surf",25,30,5
"Dewford Town",72,"Fish Old",5,10,30
"Dewford Town",129,"Fish Old",5,10,70
"Dewford Town",72,"Fish Good",10,30,20
"Dewford Town",129,"Fish Good",10,30,60
"Dewford Town",320,"Fish Good",10,30,20
"Dewford Town",320,"Fish Super",20,45,100
"Ever Grande City",72,"Surf",5,35,60
"Ever Grande City",278,"Surf",10,30,35
"Ever Grande City",279,"Surf",25,30,5
"Ever Grande City",72,"Fish Old",5,10,30
"Ever Grande City",129,"Fish Old",5,10,70
"Ever Grande City",129,"Fish Good",10,30,60
"Ever Grande City",320,"Fish Good",10,30,20
"Ever Grande City",370,"Fish Good",10,30,20
"Ever Grande City",222,"Fish Super",30,35,15
"Ever Grande City",320,"Fish Super",30,45,45
"Ever Grande City",370,"Fish Super",30,35,40
"Fiery Path",66,"Cave",15,16,15
"Fiery Path",88,"Cave",14,14,2
"Fiery Path",109,"Cave",15,16,25
"Fiery Path",218,"Cave",15,15,10
"Fiery Path",322,"Cave",15,16,30
"Fiery Path",324,"Cave",14,16,18
"Fortree City",311,"Trade",NULL,NULL,NULL
"Granite Cave",41,"Cave",7,8,30
"Granite Cave",63,"Cave",8,8,10
"Granite Cave",74,"Cave",6,9,10
"Granite Cave",296,"Cave",6,10,50
"Granite Cave",41,"Cave",7,8,30
"Granite Cave",63,"Cave",8,8,10
"Granite Cave",296,"Cave",6,10,50
"Granite Cave",304,"Cave",7,8,10
"Granite Cave",41,"Cave",9,10,30
"Granite Cave",63,"Cave",9,9,10
"Granite Cave",296,"Cave",10,11,10
"Granite Cave",302,"Cave",9,11,10
"Granite Cave",304,"Cave",9,11,40
"Granite Cave",41,"Cave",10,11,30
"Granite Cave",63,"Cave",10,10,10
"Granite Cave",302,"Cave",10,12,20
"Granite Cave",304,"Cave",10,12,40
"Granite Cave",74,"Rock Smash",5,20,70
"Granite Cave",299,"Rock Smash",10,20,30
"Hoenn Route 101",261,"Grass",2,3,45
"Hoenn Route 101",263,"Grass",2,3,10
"Hoenn Route 101",265,"Grass",2,3,45
"Hoenn Route 101",252,Starter,5,5,NULL
"Hoenn Route 101",255,Starter,5,5,NULL
"Hoenn Route 101",258,Starter,5,5,NULL
"Hoenn Route 101",263,"Special",2,2,NULL
"Hoenn Route 102",261,"Grass",3,4,30
"Hoenn Route 102",263,"Grass",3,4,15
"Hoenn Route 102",265,"Grass",3,4,30
"Hoenn Route 102",270,"Grass",3,4,20
"Hoenn Route 102",273,"Grass",3,3,1
"Hoenn Route 102",280,"Grass",4,4,4
"Hoenn Route 102",118,"Surf",20,30,1
"Hoenn Route 102",183,"Surf",5,35,99
"Hoenn Route 102",118,"Fish Old",5,10,30
"Hoenn Route 102",129,"Fish Old",5,10,70
"Hoenn Route 102",118,"Fish Good",10,30,20
"Hoenn Route 102",129,"Fish Good",10,30,60
"Hoenn Route 102",341,"Fish Good",10,30,20
"Hoenn Route 102",341,"Fish Super",20,45,100
"Hoenn Route 102",273,"Swarm",3,3,50
"Hoenn Route 103",261,"Grass",2,4,60
"Hoenn Route 103",263,"Grass",3,4,20
"Hoenn Route 103",278,"Grass",2,4,20
"Hoenn Route 103",72,"Surf",5,35,60
"Hoenn Route 103",278,"Surf",10,30,35
"Hoenn Route 103",279,"Surf",25,30,5
"Hoenn Route 103",72,"Fish Old",5,10,30
"Hoenn Route 103",129,"Fish Old",5,10,70
"Hoenn Route 103",72,"Fish Good",10,30,20
"Hoenn Route 103",129,"Fish Good",10,30,60
"Hoenn Route 103",320,"Fish Good",10,30,20
"Hoenn Route 103",319,"Fish Super",30,35,40
"Hoenn Route 103",320,"Fish Super",25,45,60
"Hoenn Route 104",183,"Grass",4,5,20
"Hoenn Route 104",261,"Grass",4,5,40
"Hoenn Route 104",265,"Grass",4,4,20
"Hoenn Route 104",276,"Grass",4,5,10
"Hoenn Route 104",278,"Grass",3,5,10
"Hoenn Route 104",278,"Surf",10,30,95
"Hoenn Route 104",279,"Surf",25,30,5
"Hoenn Route 104",129,"Fish Old",5,10,100
"Hoenn Route 104",129,"Fish Good",10,30,100
"Hoenn Route 104",129,"Fish Super",20,45,100
"Hoenn Route 105",72,"Surf",5,35,60
"Hoenn Route 105",278,"Surf",10,30,35
"Hoenn Route 105",279,"Surf",25,30,5
"Hoenn Route 105",72,"Fish Old",5,10,30
"Hoenn Route 105",129,"Fish Old",5,10,70
"Hoenn Route 105",72,"Fish Good",10,30,20
"Hoenn Route 105",129,"Fish Good",10,30,60
"Hoenn Route 105",320,"Fish Good",10,30,20
"Hoenn Route 105",320,"Fish Super",20,45,100
"Hoenn Route 106",72,"Surf",5,35,60
"Hoenn Route 106",278,"Surf",10,30,35
"Hoenn Route 106",279,"Surf",25,30,5
"Hoenn Route 106",72,"Fish Old",5,10,30
"Hoenn Route 106",129,"Fish Old",5,10,70
"Hoenn Route 106",72,"Fish Good",10,30,20
"Hoenn Route 106",129,"Fish Good",10,30,60
"Hoenn Route 106",320,"Fish Good",10,30,20
"Hoenn Route 106",320,"Fish Super",20,45,100
"Hoenn Route 107",72,"Surf",5,35,60
"Hoenn Route 107",278,"Surf",10,30,35
"Hoenn Route 107",279,"Surf",25,30,5
"Hoenn Route 107",72,"Fish Old",5,10,30
"Hoenn Route 107",129,"Fish Old",5,10,70
"Hoenn Route 107",72,"Fish Good",10,30,20
"Hoenn Route 107",129,"Fish Good",10,30,60
"Hoenn Route 107",320,"Fish Good",10,30,20
"Hoenn Route 107",320,"Fish Super",20,45,100
"Hoenn Route 108",72,"Surf",5,35,60
"Hoenn Route 108",278,"Surf",10,30,35
"Hoenn Route 108",279,"Surf",25,30,5
"Hoenn Route 108",72,"Fish Old",5,10,30
"Hoenn Route 108",129,"Fish Old",5,10,70
"Hoenn Route 108",72,"Fish Good",10,30,20
"Hoenn Route 108",129,"Fish Good",10,30,60
"Hoenn Route 108",320,"Fish Good",10,30,20
"Hoenn Route 108",320,"Fish Super",20,45,100
"Hoenn Route 109",72,"Surf",5,35,60
"Hoenn Route 109",278,"Surf",10,30,35
"Hoenn Route 109",279,"Surf",25,30,5
"Hoenn Route 109",72,"Fish Old",5,10,30
"Hoenn Route 109",129,"Fish Old",5,10,70
"Hoenn Route 109",72,"Fish Good",10,30,20
"Hoenn Route 109",129,"Fish Good",10,30,60
"Hoenn Route 109",320,"Fish Good",10,30,20
"Hoenn Route 109",320,"Fish Super",20,45,100
"Hoenn Route 110",43,"Grass",13,13,10
"Hoenn Route 110",261,"Grass",12,12,20
"Hoenn Route 110",278,"Grass",12,12,8
"Hoenn Route 110",309,"Grass",12,13,30
"Hoenn Route 110",311,"Grass",12,13,2
"Hoenn Route 110",312,"Grass",13,13,15
"Hoenn Route 110",316,"Grass",12,13,15
"Hoenn Route 110",72,"Surf",5,35,60
"Hoenn Route 110",278,"Surf",10,30,35
"Hoenn Route 110",279,"Surf",25,30,5
"Hoenn Route 110",72,"Fish Old",5,10,30
"Hoenn Route 110",129,"Fish Old",5,10,70
"Hoenn Route 110",72,"Fish Good",10,30,20
"Hoenn Route 110",129,"Fish Good",10,30,60
"Hoenn Route 110",320,"Fish Good",10,30,20
"Hoenn Route 110",320,"Fish Super",20,45,100
"Hoenn Route 111",27,Sand,19,21,35
"Hoenn Route 111",328,Sand,19,21,35
"Hoenn Route 111",331,Sand,20,22,6
"Hoenn Route 111",343,Sand,19,21,24
"Hoenn Route 111",74,"Rock Smash",5,20,100
"Hoenn Route 111",118,"Surf",20,30,1
"Hoenn Route 111",183,"Surf",5,35,99
"Hoenn Route 111",118,"Fish Old",5,10,30
"Hoenn Route 111",129,"Fish Old",5,10,70
"Hoenn Route 111",118,"Fish Good",10,30,20
"Hoenn Route 111",129,"Fish Good",10,30,60
"Hoenn Route 111",339,"Fish Good",10,30,20
"Hoenn Route 111",339,"Fish Super",20,45,100
"Hoenn Route 112",183,"Grass",14,16,25
"Hoenn Route 112",322,"Grass",14,16,75
"Hoenn Route 113",218,"Grass",14,16,25
"Hoenn Route 113",227,"Grass",16,16,5
"Hoenn Route 113",327,"Grass",14,16,70
"Hoenn Route 114",270,"Grass",15,16,30
"Hoenn Route 114",271,"Grass",16,18,20
"Hoenn Route 114",274,"Grass",15,15,1
"Hoenn Route 114",333,"Grass",15,17,40
"Hoenn Route 114",336,"Grass",15,17,9
"Hoenn Route 114",74,"Rock Smash",5,20,100
"Hoenn Route 114",118,"Surf",20,30,1
"Hoenn Route 114",183,"Surf",5,35,99
"Hoenn Route 114",118,"Fish Old",5,10,30
"Hoenn Route 114",129,"Fish Old",5,10,70
"Hoenn Route 114",118,"Fish Good",10,30,20
"Hoenn Route 114",129,"Fish Good",10,30,60
"Hoenn Route 114",339,"Fish Good",10,30,20
"Hoenn Route 114",339,"Fish Super",20,45,100
"Hoenn Route 114",274,"Swarm",15,15,50
"Hoenn Route 115",39,"Grass",24,25,10
"Hoenn Route 115",276,"Grass",23,25,40
"Hoenn Route 115",277,"Grass",25,25,10
"Hoenn Route 115",278,"Grass",24,26,10
"Hoenn Route 115",333,"Grass",23,25,30
"Hoenn Route 115",72,"Surf",5,35,60
"Hoenn Route 115",278,"Surf",10,30,35
"Hoenn Route 115",279,"Surf",25,30,5
"Hoenn Route 115",72,"Fish Old",5,10,30
"Hoenn Route 115",129,"Fish Old",5,10,70
"Hoenn Route 115",72,"Fish Good",10,30,20
"Hoenn Route 115",129,"Fish Good",10,30,60
"Hoenn Route 115",320,"Fish Good",10,30,20
"Hoenn Route 115",320,"Fish Super",20,45,100
"Hoenn Route 116",63,"Grass",7,7,10
"Hoenn Route 116",261,"Grass",6,8,28
"Hoenn Route 116",276,"Grass",6,8,20
"Hoenn Route 116",290,"Grass",6,7,20
"Hoenn Route 116",293,"Grass",6,6,20
"Hoenn Route 116",300,"Grass",7,8,2
"Hoenn Route 116",300,"Swarm",8,8,50
"Hoenn Route 117",43,"Grass",13,14,40
"Hoenn Route 117",183,"Grass",13,13,10
"Hoenn Route 117",261,"Grass",13,14,30
"Hoenn Route 117",273,"Grass",13,13,1
"Hoenn Route 117",313,"Grass",13,13,1
"Hoenn Route 117",314,"Grass",13,14,18
"Hoenn Route 117",118,"Surf",20,30,1
"Hoenn Route 117",183,"Surf",5,35,99
"Hoenn Route 117",118,"Fish Old",5,10,30
"Hoenn Route 117",129,"Fish Old",5,10,70
"Hoenn Route 117",118,"Fish Good",10,30,20
"Hoenn Route 117",129,"Fish Good",10,30,60
"Hoenn Route 117",341,"Fish Good",10,30,20
"Hoenn Route 117",341,"Fish Super",20,45,100
"Hoenn Route 117",273,"Swarm",13,13,50
"Hoenn Route 118",263,"Grass",24,26,30
"Hoenn Route 118",264,"Grass",26,26,10
"Hoenn Route 118",278,"Grass",25,27,19
"Hoenn Route 118",309,"Grass",24,26,30
"Hoenn Route 118",310,"Grass",26,26,10
"Hoenn Route 118",352,"Grass",25,25,1
"Hoenn Route 118",72,"Surf",5,35,60
"Hoenn Route 118",278,"Surf",10,30,35
"Hoenn Route 118",279,"Surf",25,30,5
"Hoenn Route 118",72,"Fish Old",5,10,30
"Hoenn Route 118",129,"Fish Old",5,10,70
"Hoenn Route 118",72,"Fish Good",10,30,20
"Hoenn Route 118",129,"Fish Good",10,30,60
"Hoenn Route 118",318,"Fish Good",10,30,20
"Hoenn Route 118",318,"Fish Super",20,25, 30
"Hoenn Route 118",319,"Fish Super",30,35,40
"Hoenn Route 119",43,Long grass,24,27,30
"Hoenn Route 119",263,Long grass,25,27,30
"Hoenn Route 119",264,Long grass,25,27,30
"Hoenn Route 119",352,Long grass,25,25,1
"Hoenn Route 119",357,Long grass,25,27,9
"Hoenn Route 119",72,"Surf",5,35,60
"Hoenn Route 119",278,"Surf",10,30,35
"Hoenn Route 119",279,"Surf",25,30,5
"Hoenn Route 119",72,"Fish Old",5,10,30
"Hoenn Route 119",129,"Fish Old",5,10,70
"Hoenn Route 119",72,"Fish Good",10,30,20
"Hoenn Route 119",129,"Fish Good",10,30,60
"Hoenn Route 119",318,"Fish Good",10,30,20
"Hoenn Route 119",318,"Fish Super",20,45,100
"Hoenn Route 119",349,"Fish Old",20,25,{{tt
"Hoenn Route 119",349,"Fish Good",20,25,{{tt
"Hoenn Route 119",349,"Fish Super",20,25,{{tt
"Hoenn Route 119",352,"Special",30,30,{{tt
"Hoenn Route 120",43,Long grass,25,27,25
"Hoenn Route 120",183,Long grass,25,27,15
"Hoenn Route 120",261,Long grass,25,25,20
"Hoenn Route 120",262,Long grass,25,27,30
"Hoenn Route 120",273,Long grass,25,25,1
"Hoenn Route 120",352,Long grass,25,25,1
"Hoenn Route 120",359,Long grass,25,27,8
"Hoenn Route 120",118,"Surf",20,30,1
"Hoenn Route 120",183,"Surf",5,35,99
"Hoenn Route 120",118,"Fish Old",5,10,30
"Hoenn Route 120",129,"Fish Old",5,10,70
"Hoenn Route 120",118,"Fish Good",10,30,20
"Hoenn Route 120",129,"Fish Good",10,30,60
"Hoenn Route 120",339,"Fish Good",10,30,20
"Hoenn Route 120",339,"Fish Super",20,45,100
"Hoenn Route 120",352,"Special",30,30,{{tt
"Hoenn Route 120",273,"Swarm",25,25,50
"Hoenn Route 121",43,"Grass",26,28,15
"Hoenn Route 121",44,"Grass",28,28,5
"Hoenn Route 121",261,"Grass",26,26,20
"Hoenn Route 121",262,"Grass",26,28,20
"Hoenn Route 121",278,"Grass",26,28,9
"Hoenn Route 121",352,"Grass",25,25,1
"Hoenn Route 121",353,"Grass",26,28,30
"Hoenn Route 121",72,"Surf",5,35,60
"Hoenn Route 121",278,"Surf",10,30,35
"Hoenn Route 121",279,"Surf",25,30,5
"Hoenn Route 121",72,"Fish Old",5,10,30
"Hoenn Route 121",129,"Fish Old",5,10,70
"Hoenn Route 121",72,"Fish Good",10,30,20
"Hoenn Route 121",129,"Fish Good",10,30,60
"Hoenn Route 121",320,"Fish Good",10,30,20
"Hoenn Route 121",320,"Fish Super",20,45,100
"Hoenn Route 122",72,"Surf",5,35,60
"Hoenn Route 122",278,"Surf",10,30,35
"Hoenn Route 122",279,"Surf",25,30,5
"Hoenn Route 122",72,"Fish Old",5,10,30
"Hoenn Route 122",129,"Fish Old",5,10,70
"Hoenn Route 122",72,"Fish Good",10,30,20
"Hoenn Route 122",129,"Fish Good",10,30,60
"Hoenn Route 122",320,"Fish Good",10,30,20
"Hoenn Route 122",319,"Fish Super",30,35,40
"Hoenn Route 122",320,"Fish Super",25,45,60
"Hoenn Route 123",43,"Grass",26,28,15
"Hoenn Route 123",44,"Grass",28,28,5
"Hoenn Route 123",261,"Grass",26,26,20
"Hoenn Route 123",262,"Grass",26,28,20
"Hoenn Route 123",278,"Grass",26,28,9
"Hoenn Route 123",352,"Grass",25,25,1
"Hoenn Route 123",353,"Grass",26,28,30
"Hoenn Route 123",72,"Surf",5,35,60
"Hoenn Route 123",278,"Surf",10,30,35
"Hoenn Route 123",279,"Surf",25,30,5
"Hoenn Route 123",72,"Fish Old",5,10,30
"Hoenn Route 123",129,"Fish Old",5,10,70
"Hoenn Route 123",72,"Fish Good",10,30,20
"Hoenn Route 123",129,"Fish Good",10,30,60
"Hoenn Route 123",320,"Fish Good",10,30,20
"Hoenn Route 123",320,"Fish Super",20,45,100
"Hoenn Route 124",72,"Surf",5,35,60
